WardNum,WardName,Zone,Assigned Monitoring Station,UID,Dist (km)
192,TRILOKPURI,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,2.57
193,KONDLI,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,3.84
194,GHAROLI,Shahdara S.,"Anand Vihar, Delhi",2553,4.31
195,KALYANPURI,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,3.40
196,MAYUR VIHAR PH-II,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,1.66
197,PATPAR GANJ,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,2.87
198,VINOD NAGAR,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,0.65
199,MANDAWALI,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,1.40
200,PANDAV NAGAR,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,1.58
201,LALITA PARK,Shahdara S.,"Mother Dairy Plant, Parparganj",10704,2.29
202,SHAKARPUR,Shahdara South,"Mother Dairy Plant, Parparganj",10704,1.06
203,LAXMI NAGAR,Shahdara South,"Mother Dairy Plant, Parparganj",10704,2.19
204,PREET VIHAR,Shahdara South,"Anand Vihar, Delhi",2553,2.28
205,I.P. EXTENSION,Shahdara South,"Anand Vihar, Delhi",2553,2.18
206,ANAND VIHAR,Shahdara South,"Anand Vihar, Delhi",2553,0.49
207,VISHWAS NAGAR,Shahdara South,"ITI Shahdra, Jhilmil Indl. Area",10118,2.06
208,ANARKALI,Shahdara South,"Anand Vihar, Delhi",2553,2.56
209,JAGAT PURI,Shahdara South,"Mother Dairy Plant, Parparganj",10704,3.23
210,GEETA COLONY,Shahdara South,"Mother Dairy Plant, Parparganj",10704,3.41
211,KRISHNA NAGAR,Shahdara South,"Anand Vihar, Delhi",2553,4.00
212,GANDHI NAGAR,Shahdara South,"ITO, Delhi",3715,4.29
213,SHASTRI PARK,Shahdara South,"Sonia Vihar WTP, Delhi",10121,4.58
214,AZAD NAGAR,Shahdara South,"ITI Shahdra, Jhilmil Indl. Area",10118,3.73
215,SHAHDARA,Shahdara South,"ITI Shahdra, Jhilmil Indl. Area",10118,2.49
216,JHILMIL,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,0.33
217,DILSHAD COLONY,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,1.10
218,SUNDAR NAGRI,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,2.43
219,DILSHAD GARDEN,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,1.58
220,NAND NAGRI,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,2.12
221,ASHOK NAGAR,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,3.08
222,RAM NAGAR EAST,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,1.92
223,ROHTASH NAGAR,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,2.21
224,WELCOME COLONY,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,3.16
225,SEELAMPUR,Shahdara North,"Sonia Vihar WTP, Delhi",10121,4.40
226,GAUTAM PURI,Shahdara North,"Sonia Vihar WTP, Delhi",10121,3.44
227,CHAUHAN BANGER,Shahdara North,"Sonia Vihar WTP, Delhi",10121,4.00
228,MAUJPUR,Shahdara North,"Sonia Vihar WTP, Delhi",10121,3.55
229,BRAHAM PURI,Shahdara North,"Sonia Vihar WTP, Delhi",10121,2.42
230,BHAJANPURA,Shahdara North,"Sonia Vihar WTP, Delhi",10121,1.16
231,GHONDA,Shahdara North,"Sonia Vihar WTP, Delhi",10121,2.77
232,YAMUNA VIHAR,Shahdara North,"Sonia Vihar WTP, Delhi",10121,2.67
233,SUBHASH MOHALLA,Shahdara North,"Sonia Vihar WTP, Delhi",10121,3.00
234,KABIR NAGAR,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,3.84
235,GORAKH PARK,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,3.30
236,KARDAM PURI,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,3.45
237,HARSH VIHAR,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,3.69
238,SABOLI,Shahdara North,"ITI Shahdra, Jhilmil Indl. Area",10118,4.02
239,GOKAL PURI,Shahdara North,"Sonia Vihar WTP, Delhi",10121,3.93
240,JOHARIPUR,Shahdara North,"Sonia Vihar WTP, Delhi",10121,3.77
241,KARAWAL NAGAR-E,Shahdara North,"Sonia Vihar WTP, Delhi",10121,3.75
242,DAYALPUR,Shahdara North,"Sonia Vihar WTP, Delhi",10121,3.07
243,MUSTAFABAD,Shahdara North,"Sonia Vihar WTP, Delhi",10121,2.91
244,NEHRU VIHAR,Shahdara North,"Sonia Vihar WTP, Delhi",10121,2.14
245,BRIJ PURI,Shahdara North,"Sonia Vihar WTP, Delhi",10121,2.49
246,SRI RAM COLONY,Shahdara North,"Sonia Vihar WTP, Delhi",10121,1.22
247,SADATPUR,Shahdara North,"Sonia Vihar WTP, Delhi",10121,1.67
248,KARAWAL NAGAR-W,Shahdara North,"Sonia Vihar WTP, Delhi",10121,2.98
249,SONIA VIHAR,Shahdara North,"Sonia Vihar WTP, Delhi",10121,1.25
250,SABAPUR,Shahdara North,"Burari Crossing, Delhi",10125,4.17
